Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value
Grant Authority,2020,Navy,Bahrain,High Endurance Cutter,Service Authorized to Supply EDA,6/10/20,1,1,0,0,0,"$89,894,266.00","$8,989,427.00"
Grant Authority,2020,Navy,Bahrain,Spare Parts,Service Authorized to Supply EDA,3/19/20,1,1,0,0,0,"$6,500,000.00","$325,000.00"
Grant Authority,2020,Army,Colombia,Armored Security Vehicle M1117,Service Authorized to Supply EDA,6/1/20,200,200,0,0,0,"$161,900,000.00","$16,190,000.00"
Grant Authority,2020,Army,Croatia,M2A2 ODS BRADLEY FIGHTING VEHICLE,Service Authorized to Supply EDA,5/11/20,120,120,0,0,0,"$157,396,680.00","$15,739,668.00"
Grant Authority,2020,Navy,Dominican Republic,"Aircraft, Trainer T-34C",Service Authorized to Supply EDA,5/11/20,10,10,0,0,0,"$6,837,950.00","$341,900.00"
Grant Authority,2020,Navy,Dominican Republic,"Engine, Turbo prop PT6A-25",Service Authorized to Supply EDA,5/11/20,1,1,0,0,0,"$256,423.00","$12,821.00"
Grant Authority,2020,Air Force,Greece,Spares for MKV SOC System,Service Authorized to Supply EDA,5/22/20,0,0,0,0,0,"$2,500,000.00","$250,000.00"
Grant Authority,2020,Air Force,Honduras,CR-12 Flight Simulators,Service Authorized to Supply EDA,5/15/20,5,5,0,0,0,"$250,000.00",
Grant Authority,2020,Army,Israel,Control Logic Assembly,Service Authorized to Supply EDA,6/1/20,5,5,0,0,0,"$1,113,825.00","$111,382.50"
Grant Authority,2020,Army,Israel,Power Distribution Unit,Service Authorized to Supply EDA,6/1/20,4,4,0,0,0,"$2,344.00",$234.40
Grant Authority,2020,Army,Israel,Convertor frequency static Driver,Service Authorized to Supply EDA,6/1/20,7,7,0,0,0,"$5,096.00",$509.60
Grant Authority,2020,Army,Israel,TWT Simulator,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$5,153.00",$515.30
Grant Authority,2020,Army,Israel,Fault monitor Final,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$400.00,$40.00
Grant Authority,2020,Army,Israel,Control logic sub assembly,Service Authorized to Supply EDA,6/1/20,4,4,0,0,0,"$22,248.00","$2,224.80"
Grant Authority,2020,Army,Israel,Final side inverter panel,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,"$8,350.00",$835.00
Grant Authority,2020,Army,Israel,Control monitor Driver,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,"$166,162.00","$16,616.20"
Grant Authority,2020,Army,Israel,Interconnection box (A20),Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$249.04,$24.90
Grant Authority,2020,Army,Israel,Invertert and converter doll house (final side),Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$222,765.00","$22,276.50"
Grant Authority,2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$64.60,$6.46
Grant Authority,2020,Army,Israel,Converter,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$403.47,$40.35
Grant Authority,2020,Army,Israel,244D Pulse circuit control panel (A2),Service Authorized to Supply EDA,6/1/20,6,6,0,0,0,"$2,454.00",$245.40
Grant Authority,2020,Army,Israel,Transformer Driver Assembly,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$2,093.29",$209.33
Grant Authority,2020,Army,Israel,Converter,Service Authorized to Supply EDA,6/1/20,175,175,0,0,0,"$70,607.25","$7,061.25"
Grant Authority,2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$47.95,$4.80
Grant Authority,2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$47.95,$4.80
Grant Authority,2020,Army,Israel,Holder Printed circuit,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$47.95,$4.80
Grant Authority,2020,Army,Israel,Fault monitor Driver,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$373.50,$37.35
Grant Authority,2020,Army,Israel,P244D DC Power Control (A12),Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$409.00,$40.90
Grant Authority,2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$467.07,$46.71
Grant Authority,2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$64.60,$6.46
Grant Authority,2020,Army,Israel,Relay Assembly,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$64.06,$6.41
Grant Authority,2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$467.07,$46.71
Grant Authority,2020,Army,Israel,Inverter,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$467.07,$46.71
Grant Authority,2020,Army,Israel,Fault Monitor Final,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,$800.00,$80.00
Grant Authority,2020,Army,Israel,TEST STATION TRANSMITTER TANK PAT247,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$3,250,000.00","$325,000.00"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,3,3,0,0,0,"$2,616.00",$261.60
Grant Authority,2020,Army,Israel,CCA NAND1,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$15.00,$1.50
Grant Authority,2020,Army,Israel,CCA NAND2,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$5.00,$0.50
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$986.00,$98.60
Grant Authority,2020,Army,Israel,CCA PULSE DRIVER,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,$397.78,$39.78
Grant Authority,2020,Army,Israel,CCA Pulse Input,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$105.00,$10.50
Grant Authority,2020,Army,Israel,CCA DC Driver,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$155.00,$15.50
Grant Authority,2020,Army,Israel,CCA DC Input,Service Authorized to Supply EDA,6/1/20,15,15,0,0,0,$825.00,$82.50
Grant Authority,2020,Army,Israel,CCA Data Cycle,Service Authorized to Supply EDA,6/1/20,3,3,0,0,0,$300.00,$30.00
Grant Authority,2020,Army,Israel,CCA FLIP FLOP,Service Authorized to Supply EDA,6/1/20,25,25,0,0,0,$476.25,$47.75
Grant Authority,2020,Army,Israel,CCA Inverter,Service Authorized to Supply EDA,6/1/20,14,14,0,0,0,"$1,792.00",$179.20
Grant Authority,2020,Army,Israel,CCA ARC Logic,Service Authorized to Supply EDA,6/1/20,24,24,0,0,0,"$2,958.00",$295.92
Grant Authority,2020,Army,Israel,CCA Synch,Service Authorized to Supply EDA,6/1/20,17,17,0,0,0,"$4,402.83",$440.30
Grant Authority,2020,Army,Israel,CCA TIMER,Service Authorized to Supply EDA,6/1/20,26,26,0,0,0,"$5,256.42",$525.72
Grant Authority,2020,Army,Israel,CCA Compairator,Service Authorized to Supply EDA,6/1/20,48,48,0,0,0,"$60,672.00","$6,067.20"
Grant Authority,2020,Army,Israel,CCA NAND,Service Authorized to Supply EDA,6/1/20,33,33,0,0,0,"$13,299.00","$1,329.90"
Grant Authority,2020,Army,Israel,CCA Status Monitor,Service Authorized to Supply EDA,6/1/20,18,18,0,0,0,"$2,788.02",$278.82
Grant Authority,2020,Army,Israel,CCA Status Matrix,Service Authorized to Supply EDA,6/1/20,84,84,0,0,0,"$66,333.12","$6,633.48"
