Fiscal Year,Country/Territory,Category, Quantity , Defense Articles and Services Authorized Value , Shipped Value , Services Authorized ,
2019,Taiwan,Total," 49,231,479 "," 201,965,356 "," 13,369,781 ",,
2019,Taiwan,I," 1,616 "," 1,214,737 ",,,
2019,Taiwan,I(a), 212 ," 174,955 ",,,
2019,Taiwan,I(h)," 138,212 "," 402,017 ",,,
2019,Taiwan,II, 125 ," 49,033 ",,,
2019,Taiwan,III," 49,060,381 "," 2,568,452 ",,,
2019,Taiwan,IV, 616 ," 706,592 ",,,
2019,Taiwan,VI, 73 ," 15,705 ",,,
2019,Taiwan,VII, 637 ," 262,134 ",,,
2019,Taiwan,VIII, 66 ," 616,734 ",,,
2019,Taiwan,IX, 170 ," 3,284,871 ",,,
2019,Taiwan,XI," 15,741 "," 5,512,686 ",,,
2019,Taiwan,XII," 12,192 "," 41,542,737 ",,,
2019,Taiwan,XIII, 266 ," 51,144 ",,,
2019,Taiwan,XIV, 304 ," 452,609 ",,,
2019,Taiwan,XV, 5 ," 20,000 ",,,
2019,Taiwan,XIX, 860 ," 1,573,710 ",,,
2019,Taiwan,XX, 3 ," 1,200 ",,,
2019,Taiwan,Agreements,," 143,516,040 ",,,
2018,Taiwan,Total," 70,245,683 "," 281,065,760 "," 22,727,060 ",,
2018,Taiwan,I, 16 ," 28,442 ",,,
2018,Taiwan,I(a), 4 ," 49,632 ",,,
2018,Taiwan,II, 213 ," 7,398,484 ",,,
2018,Taiwan,III," 70,223,543 "," 3,813,847 ",,,
2018,Taiwan,IV," 3,824 "," 18,326,823 ",,,
2018,Taiwan,V, 916 ," 59,269 ",,,
2018,Taiwan,VII, 55 ," 46,784 ",,,
2018,Taiwan,VIII, 55 ," 1,724,627 ",,,
2018,Taiwan,IX, 170 ," 2,486,999 ",,,
2018,Taiwan,X, 12 ," 1,500 ",,,
2018,Taiwan,XI," 13,287 "," 37,129,373 ",,,
2018,Taiwan,XII," 1,160 "," 5,376,478 ",,,
2018,Taiwan,XIII," 2,267 "," 463,718 ",,,
2018,Taiwan,XIV, 149 ," 96,992 ",,,
2018,Taiwan,XIX, 9 ," 802,676 ",,,
2018,Taiwan,XX, 3 ," 6,370 ",,,
2018,Taiwan,Agreements,," 203,253,746 ",,,
2017,Taiwan,Total," 65,303,754 "," 233,684,146 "," 1,214,830 ",,
2017,Taiwan,II," 1,119 "," 32,801 ",,,
2017,Taiwan,III," 65,301,026 "," 1,189,024 ",,,
2017,Taiwan,VI, 5 ," 80,908 ",,,
2017,Taiwan,VII," 1,412 "," 260,200 ",,,
2017,Taiwan,IX, 131 ," 2,827,028 ",,,
2017,Taiwan,X, 10 ," 12,500 ",,,
2017,Taiwan,XX, 51 ," 496,125 ",,,
2017,Taiwan,Agreements,," 228,785,560 ",,,
2016,Taiwan,Total," 11,403 "," 235,902,040 "," 6,547,812 ",,
2016,Taiwan,I(h), 3 ," 8,700 ",,,
